Id,Tittle,artist,album,duration
123122,Unstoppable,Sia,This Is Acting,218
123122,Levitating,Dua Lipa,Future Nostalgia,204
543542,Yottabyte,Martin Garrix,Blaw Ep,210
876542,This Is How We Do It,Montell Jordan,Best of Montell Jordan,240
345652,Military Academy,Gangter Rap Beats,When Thugs Cry,50
615122,Bring Me to Life,Evanescence,Fallen,238
523523,Unstoppable,The Score,ATLAS,183
234532,TNT,Voltage City,TNT,203
512435,Thunder,Gabry Ponte,Thunder,100
345432,Run,One Republic,Run,169
743727,Shockwave,Marshmellow,Shockwave,181
945234,Beast Mode,Kura,Beast Mode,162
834832,The Motto,Tiesto & Ava Max,The Motto,165
234544,Till I Collapse,Eminen,The Eminew Show,300
547632,Jhonny Run Away,Tones and I,The Kids Are Comming,192
